learning_rate, gamma, net_dimension   , batch_size, total_return          , sharpe_ratio       , max_drawdown         , final_value       , exp_name
3e-06        , 0.97 , "[256, 128]"    ,       1024, 0.008652387947861051  , 4.340999993398917  , -0.02283738556130177 , 1008652.387947861 , exp_lr3e-06_g0.97_bs1024
1e-06        , 0.97 , "[128, 64]"     ,       1024, 0.013186730007011427  , 4.246408679305009  , -0.035089245647542566, 1013186.7300070114, exp_lr1e-06_g0.97_bs1024
3e-06        , 0.95 , "[128, 64]"     ,       4096, 0.014582511543111742  , 4.231853177545699  , -0.051016745820554155, 1014582.5115431116, exp_lr3e-06_g0.95_bs4096
3e-06        , 0.95 , "[128, 128, 64]",       4096, 0.009096647706153593  , 4.185684121479808  , -0.025368500823172435, 1009096.6477061537, exp_lr3e-06_g0.95_bs4096
1e-05        , 0.985, "[128, 64]"     ,       4096, 0.010230896844966475  , 4.183497193962962  , -0.028916083788644853, 1010230.8968449666, exp_lr1e-05_g0.985_bs4096
1e-05        , 0.95 , "[128, 128, 64]",       2048, 0.009483176183710196  , 4.126742875832389  , -0.02253404309641205 , 1009483.1761837101, exp_lr1e-05_g0.95_bs2048
1e-06        , 0.95 , "[128, 64]"     ,       1024, 0.007085081076948496  , 3.634733515853886  , -0.017764937740183173, 1007085.0810769486, exp_lr1e-06_g0.95_bs1024
1e-06        , 0.97 , "[256, 128]"    ,       4096, 0.009438478181335475  , 3.441692823392051  , -0.027259379364796943, 1009438.4781813355, exp_lr1e-06_g0.97_bs4096
3e-06        , 0.985, "[128, 128, 64]",       1024, 0.009779185391701084  , 3.1912053614569564 , -0.03550312479363593 , 1009779.1853917012, exp_lr3e-06_g0.985_bs1024
1e-05        , 0.95 , "[256, 128]"    ,       2048, 0.007312487623127417  , 3.1118227144016677 , -0.029185155162053222, 1007312.4876231274, exp_lr1e-05_g0.95_bs2048
1e-05        , 0.97 , "[128, 128, 64]",       4096, 0.006041794964099845  , 3.0188508649414065 , -0.022306048713517934, 1006041.7949640999, exp_lr1e-05_g0.97_bs4096
3e-06        , 0.985, "[128, 64]"     ,       1024, 0.0069469578545440225 , 2.9799588754769344 , -0.027283504936417957, 1006946.9578545439, exp_lr3e-06_g0.985_bs1024
1e-05        , 0.95 , "[128, 64]"     ,       2048, 0.005289438655136314  , 2.490518613065513  , -0.02271650184747065 , 1005289.4386551364, exp_lr1e-05_g0.95_bs2048
1e-06        , 0.97 , "[128, 128, 64]",       1024, 0.007102342574047071  , 2.432526533996373  , -0.03817484782130187 , 1007102.3425740472, exp_lr1e-06_g0.97_bs1024
1e-06        , 0.97 , "[256, 128]"    ,       1024, 0.004796496980686404  , 2.376045684961976  , -0.01813284943408644 , 1004796.4969806864, exp_lr1e-06_g0.97_bs1024
1e-06        , 0.985, "[256, 128]"    ,       2048, 0.0054371713881398165 , 2.1930288303529157 , -0.03142474851257149 , 1005437.1713881397, exp_lr1e-06_g0.985_bs2048
3e-06        , 0.97 , "[128, 64]"     ,       1024, 0.005093341385707939  , 2.050418892986061  , -0.02709514999633933 , 1005093.341385708 , exp_lr3e-06_g0.97_bs1024
3e-06        , 0.97 , "[128, 128, 64]",       1024, 0.0041490196124094325 , 1.9779985458717966 , -0.02275716276377826 , 1004149.0196124095, exp_lr3e-06_g0.97_bs1024
1e-06        , 0.97 , "[128, 64]"     ,       2048, 0.003912373600616803  , 1.6998554446896215 , -0.0180895109681114  , 1003912.3736006168, exp_lr1e-06_g0.97_bs2048
1e-05        , 0.97 , "[128, 64]"     ,       2048, 0.0031287161898840843 , 1.4581959406343947 , -0.020367727184742   , 1003128.7161898841, exp_lr1e-05_g0.97_bs2048
1e-05        , 0.95 , "[128, 64]"     ,       1024, 0.0032667866082976005 , 1.3925113303230248 , -0.025131956828217006, 1003266.7866082975, exp_lr1e-05_g0.95_bs1024
1e-05        , 0.985, "[128, 128, 64]",       1024, 0.0023852064617104762 , 1.2947186608444958 , -0.018612228387317797, 1002385.2064617105, exp_lr1e-05_g0.985_bs1024
1e-06        , 0.985, "[128, 128, 64]",       2048, 0.002453485101434838  , 1.1849148009284542 , -0.014005145958129295, 1002453.4851014349, exp_lr1e-06_g0.985_bs2048
3e-06        , 0.985, "[128, 128, 64]",       2048, 0.002787455224019686  , 1.1730957872268528 , -0.027923954154416286, 1002787.4552240197, exp_lr3e-06_g0.985_bs2048
3e-06        , 0.97 , "[128, 64]"     ,       2048, 0.0026046459587840687 , 1.144311437761286  , -0.02226081845962835 , 1002604.6459587842, exp_lr3e-06_g0.97_bs2048
1e-05        , 0.985, "[128, 64]"     ,       2048, 0.0031364393650203937 , 1.007672707707117  , -0.031950559748780916, 1003136.4393650204, exp_lr1e-05_g0.985_bs2048
