date,ensemble,dji
2025-05-16,1055464.9979950497,1139581.0889208443
2025-05-19,1070909.8537079403,1143250.1065264307
2025-05-20,1070089.6636520931,1140182.207941471
2025-05-21,1040068.5181900568,1118360.335161424
2025-05-22,1036730.2430435724,1118324.22627581
2025-05-23,1033911.7502533504,1111484.305836417
2025-05-27,1049838.6456314633,1131269.8879340906
2025-05-28,1046129.1994721004,1124725.7264017214
2025-05-29,1050494.403649957,1127852.3801965094
2025-05-30,1050131.1682602474,1129304.145247888
2025-06-02,1051716.1313263483,1130250.1771787875
2025-06-03,1055645.2940918517,1135971.7657735562
2025-06-04,1051241.1567169735,1133516.4659127423
2025-06-05,1046170.9969040462,1130631.0946137335
2025-06-06,1060976.838639886,1142470.0084918498
2025-06-09,1063451.3040482113,1142440.3699845828
2025-06-10,1069143.039964349,1145248.5141871916
2025-06-11,1079715.802085328,1145219.0844018066
2025-06-12,1080856.6274576732,1147940.191579554
2025-06-13,1064982.2414168406,1127373.0503941244
2025-06-16,1073117.770417245,1135850.1852771968
2025-06-17,1068086.2070436794,1127854.258693449
2025-06-18,1069390.9419832546,1126674.9800592333
2025-06-20,1068857.3484428227,1127614.3328899038
2025-06-23,1078882.2871330082,1137631.9396242735
2025-06-24,1092742.2891319096,1151183.5209064707
2025-06-25,1085327.974587232,1148335.823907192
2025-06-26,1096539.629952222,1159140.2077763719
2025-06-27,1105976.7684409916,1170693.1726759262
2025-06-30,1114734.7866752446,1178053.5411284904
2025-07-01,1129657.3415153325,1188744.6933765972
2025-07-02,1123209.1720969975,1188463.649362266
2025-07-03,1126905.8700034916,1197657.0133839776
2025-07-07,1114577.0154960454,1186378.1003157024
2025-07-08,1118018.3949516118,
